Jour;Date;Heure;Humidite;Temperature;Target_temp;Target_hum
Tuesday ;16/07/2024;10:12:25;53.4;22.4;froide; humide
Tuesday ;16/07/2024;10:12:26;53.4;22.4;froide; humide
Tuesday ;16/07/2024;10:12:27;53.5;22.3;froide; humide
Tuesday ;16/07/2024;10:12:28;53.5;22.3;froide; humide
Tuesday ;16/07/2024;10:12:29;53.5;22.3;froide; humide
Tuesday ;16/07/2024;10:12:30;53.4;22.3;froide; humide
Tuesday ;16/07/2024;10:12:31;53.4;22.3;froide; humide
Tuesday ;16/07/2024;10:12:32;53.4;22.3;froide; humide
Tuesday ;16/07/2024;10:12:33;53.4;22.3;froide; humide
Tuesday ;16/07/2024;10:12:34;53.4;22.3;froide; humide
Tuesday ;16/07/2024;10:12:35;53.4;22.3;froide; humide
Tuesday ;16/07/2024;10:12:36;53.6;22.3;froide; humide
Tuesday ;16/07/2024;10:12:37;53.6;22.3;froide; humide
Tuesday ;16/07/2024;10:12:38;53.6;22.3;froide; humide
Tuesday ;16/07/2024;10:12:39;53.6;22.4;froide; humide
Tuesday ;16/07/2024;10:12:40;53.6;22.4;froide; humide
Tuesday ;16/07/2024;10:12:41;53.6;22.4;froide; humide
Tuesday ;16/07/2024;10:12:42;53.6;22.4;froide; humide
Tuesday ;16/07/2024;10:12:43;53.6;22.4;froide; humide
Tuesday ;16/07/2024;10:12:44;53.6;22.4;froide; humide
Tuesday ;16/07/2024;10:12:45;53.8;22.3;froide; humide
Tuesday ;16/07/2024;10:12:46;53.8;22.3;froide; humide
Tuesday ;16/07/2024;10:12:47;53.8;22.3;froide; humide
Tuesday ;16/07/2024;10:12:48;53.9;22.4;froide; humide
Tuesday ;16/07/2024;10:12:49;53.9;22.4;froide; humide
Tuesday ;16/07/2024;10:12:50;53.9;22.4;froide; humide
Tuesday ;16/07/2024;10:12:51;53.9;22.4;froide; humide
Tuesday ;16/07/2024;10:12:52;53.9;22.4;froide; humide
Tuesday ;16/07/2024;10:12:53;53.9;22.4;froide; humide
Tuesday ;16/07/2024;10:12:54;53.9;22.4;froide; humide
Tuesday ;16/07/2024;10:12:55;53.9;22.4;froide; humide
Tuesday ;16/07/2024;10:12:56;53.9;22.4;froide; humide
Tuesday ;16/07/2024;10:12:57;53.8;22.3;froide; humide
Tuesday ;16/07/2024;10:12:58;53.8;22.3;froide; humide
Tuesday ;16/07/2024;10:12:59;53.8;22.3;froide; humide
Tuesday ;16/07/2024;10:13:00;53.7;22.3;froide; humide
Tuesday ;16/07/2024;10:13:01;53.7;22.3;froide; humide
Tuesday ;16/07/2024;10:13:02;53.7;22.3;froide; humide
Tuesday ;16/07/2024;10:13:03;53.7;22.4;froide; humide
Tuesday ;16/07/2024;10:13:04;53.7;22.4;froide; humide
Tuesday ;16/07/2024;10:13:05;53.7;22.4;froide; humide
Tuesday ;16/07/2024;10:13:06;54.6;22.3;froide; humide
Tuesday ;16/07/2024;10:13:07;54.6;22.3;froide; humide
Tuesday ;16/07/2024;10:13:08;54.6;22.3;froide; humide
Tuesday ;16/07/2024;10:13:09;54.5;22.3;froide; humide
Tuesday ;16/07/2024;10:13:10;54.5;22.3;froide; humide
Tuesday ;16/07/2024;10:13:11;54.5;22.3;froide; humide
Tuesday ;16/07/2024;10:13:12;54.5;22.4;froide; humide
Tuesday ;16/07/2024;10:13:13;54.5;22.4;froide; humide
Tuesday ;16/07/2024;10:13:14;54.5;22.4;froide; humide
Tuesday ;16/07/2024;10:13:15;54.2;22.4;froide; humide
Tuesday ;16/07/2024;10:13:16;54.2;22.4;froide; humide
Tuesday ;16/07/2024;10:13:17;54.2;22.4;froide; humide
Tuesday ;16/07/2024;10:13:18;53.9;22.4;froide; humide
Tuesday ;16/07/2024;10:13:19;53.9;22.4;froide; humide
Tuesday ;16/07/2024;10:13:20;53.9;22.4;froide; humide
Tuesday ;16/07/2024;10:13:21;53.7;22.4;froide; humide
Tuesday ;16/07/2024;10:13:22;53.7;22.4;froide; humide
Tuesday ;16/07/2024;10:13:23;53.7;22.4;froide; humide
Tuesday ;16/07/2024;10:13:24;53.5;22.4;froide; humide
Tuesday ;16/07/2024;10:13:25;53.5;22.4;froide; humide
Tuesday ;16/07/2024;10:13:26;53.5;22.4;froide; humide
Tuesday ;16/07/2024;10:13:27;53.6;22.4;froide; humide
Tuesday ;16/07/2024;10:13:28;53.6;22.4;froide; humide
Tuesday ;16/07/2024;10:13:29;53.6;22.4;froide; humide
Tuesday ;16/07/2024;10:13:30;53.7;22.4;froide; humide
Tuesday ;16/07/2024;10:13:31;53.7;22.4;froide; humide
Tuesday ;16/07/2024;10:13:32;53.7;22.4;froide; humide
Tuesday ;16/07/2024;10:13:33;53.7;22.4;froide; humide
Tuesday ;16/07/2024;10:13:34;53.7;22.4;froide; humide
Tuesday ;16/07/2024;10:13:35;53.7;22.4;froide; humide
Tuesday ;16/07/2024;10:13:36;53.9;22.4;froide; humide
Tuesday ;16/07/2024;10:13:37;53.9;22.4;froide; humide
Tuesday ;16/07/2024;10:13:38;53.9;22.4;froide; humide
Tuesday ;16/07/2024;10:13:39;54.1;22.4;froide; humide
Tuesday ;16/07/2024;10:13:40;54.1;22.4;froide; humide
Tuesday ;16/07/2024;10:13:41;54.1;22.4;froide; humide
Tuesday ;16/07/2024;10:13:42;54.2;22.3;froide; humide
Tuesday ;16/07/2024;10:13:43;54.2;22.3;froide; humide
Tuesday ;16/07/2024;10:13:44;54.2;22.3;froide; humide
Tuesday ;16/07/2024;10:13:45;54.3;22.4;froide; humide
Tuesday ;16/07/2024;10:13:46;54.3;22.4;froide; humide
Tuesday ;16/07/2024;10:13:47;54.3;22.4;froide; humide
Tuesday ;16/07/2024;10:13:48;54.4;22.4;froide; humide
Tuesday ;16/07/2024;10:13:49;54.4;22.4;froide; humide
Tuesday ;16/07/2024;10:13:50;54.4;22.4;froide; humide
Tuesday ;16/07/2024;10:13:51;54.4;22.4;froide; humide
Tuesday ;16/07/2024;10:13:52;54.4;22.4;froide; humide
Tuesday ;16/07/2024;10:13:53;54.4;22.4;froide; humide
Tuesday ;16/07/2024;10:13:54;54.4;22.4;froide; humide
Tuesday ;16/07/2024;10:13:55;54.4;22.4;froide; humide
Tuesday ;16/07/2024;10:13:56;54.4;22.4;froide; humide
Tuesday ;16/07/2024;10:13:57;54.3;22.4;froide; humide
Tuesday ;16/07/2024;10:13:58;54.3;22.4;froide; humide
Tuesday ;16/07/2024;10:13:59;54.3;22.4;froide; humide
Tuesday ;16/07/2024;10:14:00;54.3;22.4;froide; humide
Tuesday ;16/07/2024;10:14:01;54.3;22.4;froide; humide
Tuesday ;16/07/2024;10:14:02;54.3;22.4;froide; humide
Tuesday ;16/07/2024;10:14:03;54.4;22.4;froide; humide
Tuesday ;16/07/2024;10:14:04;54.4;22.4;froide; humide
Tuesday ;16/07/2024;10:14:05;54.4;22.4;froide; humide
Tuesday ;16/07/2024;10:14:06;54.3;22.4;froide; humide
Tuesday ;16/07/2024;10:14:07;54.3;22.4;froide; humide
Tuesday ;16/07/2024;10:14:08;54.3;22.4;froide; humide
Tuesday ;16/07/2024;10:14:09;54.6;22.4;froide; humide
Tuesday ;16/07/2024;10:14:10;54.6;22.4;froide; humide
Tuesday ;16/07/2024;10:14:11;54.6;22.4;froide; humide
Tuesday ;16/07/2024;10:14:12;55.0;22.5;froide; humide
Tuesday ;16/07/2024;10:14:13;55.0;22.5;froide; humide
Tuesday ;16/07/2024;10:14:14;55.0;22.5;froide; humide
Tuesday ;16/07/2024;10:14:15;55.2;22.5;froide; humide
Tuesday ;16/07/2024;10:14:16;55.2;22.5;froide; humide
Tuesday ;16/07/2024;10:14:17;55.2;22.5;froide; humide
Tuesday ;16/07/2024;10:14:18;54.9;22.6;froide; humide
Tuesday ;16/07/2024;10:14:19;54.9;22.6;froide; humide
Tuesday ;16/07/2024;10:14:20;54.9;22.6;froide; humide
Tuesday ;16/07/2024;10:14:21;55.1;22.6;froide; humide
Tuesday ;16/07/2024;10:14:22;55.1;22.6;froide; humide
Tuesday ;16/07/2024;10:14:23;55.1;22.6;froide; humide
Tuesday ;16/07/2024;10:14:24;55.3;22.9;froide; humide
Tuesday ;16/07/2024;10:14:25;55.3;22.9;froide; humide
Tuesday ;16/07/2024;10:14:26;55.3;22.9;froide; humide
Tuesday ;16/07/2024;10:14:27;55.2;23.1;normal; humide
Tuesday ;16/07/2024;10:14:28;55.2;23.1;normal; humide
Tuesday ;16/07/2024;10:14:29;55.2;23.1;normal; humide
Tuesday ;16/07/2024;10:14:30;54.8;23.4;normal; humide
Tuesday ;16/07/2024;10:14:31;54.8;23.4;normal; humide
Tuesday ;16/07/2024;10:14:32;54.8;23.4;normal; humide
Tuesday ;16/07/2024;10:14:33;54.1;23.6;normal; humide
Tuesday ;16/07/2024;10:14:34;54.1;23.6;normal; humide
